validator_address,pool_id,total_stake,delegator_address,net_delegated_iota
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x49632ddbe8ff9d6971cd9a5c08ebc215b321a268a4c43b5097a479c69b60638d,6407.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x83070ef890dcff484c2414c8f5ee5bc7df39999d05dbe0be5218bf287a80e050,5936.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x9e5f9ead79f73fb3459b7011b53c144aebfc92f5c8ba7bfc76a15ad1952d1be2,5400.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x1a3ce93d0efcb20650bda60abadbe08fc562e3de37e5d316073db795ae6c37f2,5128.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x93baab2249e7ef9f311447d7345423c5bee0b0a686b123508c1a06d44349303f,5090.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x50872d70f69db07698e8a8cc94008d1b64337fc6cdad2d8c23f2ea8b606858c5,5005.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x1fcbd56cc0e87117f81cf524023969d4e48297fd21cfa8c874cffda3c2638670,4999.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xdbbeb0d17b2a5bfff847cfa260dac199dcfd551ecf6dd8c4696df7ab6b2bd6e6,3910.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xe376fe9ce1e97375d221a7ade90fb1fef5923e2160d0e123d344703fc1f79436,3048.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x707d260ade59e16c2d41b41d4b286ca203990e92bf0a9111eef5a9ab4b55cb2d,2700.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x33997ef8ed5127fa99063f68635fa35681b32f6faa62924c35c29dbaae001792,2364.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x04157e9296a42b3b43f38a30a6b146ddfafe911afbbbd66e57d80788961e9e7e,2200.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x8de9dccdf459a56192b5be65197bb01bd74e84d04f7d97ca5d2107cf7c112438,2000.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x840631769484f9f0125abf8419dd7688efd86dd197aaf93ce6effb6ec2a38799,1790.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x80a067b1a2b74a5ef92f80eb9c2abe235c5465a993bece43182a8efa685d3532,1059.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x183ca4766aa4af3117db910be3ba23dfec45724b9464b1fccec62ccbaf4c4f65,1012.0
