id,time,epoch_id,validator_slot,validator_address,stake_action,unstake_action,staked_amount
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,3,158,1,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,0,1,1050
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,4,158,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,1074
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,5,158,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,2139
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,6,182,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,2139
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,7,182,1,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,1,0,2185
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,8,182,1,0x0044adaa5862e3f3adba2cbf201c45fce17abf1aa1e62593838b4be4245ec871,0,1,2185
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,9,182,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,2185
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,10,224,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,2185
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,11,224,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,2213
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,12,244,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,2213
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,13,244,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,2225
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,14,273,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,2225
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,15,273,2,0x6dc06b49261ceac6420a7132dcc13fb95e33d9e163fb6132187b740886b16691,1,0,2245
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,16,280,2,0x6dc06b49261ceac6420a7132dcc13fb95e33d9e163fb6132187b740886b16691,0,1,2245
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,17,280,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,2248
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,18,306,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,2248
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,19,306,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,2265
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,20,332,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,2265
0x02adf9b2aeb66c6bd3dffe1aed9ae037605a870cce04dffa6b4d004ea70ccf60,21,332,3,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,2282
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,1,68,5,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,11447
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,2,68,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,6850
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,3,68,4,0xd4e16657f0da1fa4d99009c3829cf3794c987871d6746be0e241195651f6326a,1,0,1942
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,4,88,4,0xd4e16657f0da1fa4d99009c3829cf3794c987871d6746be0e241195651f6326a,0,1,1942
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,5,88,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,1956
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,6,98,5,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,11447
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,7,98,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,6850
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,8,98,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,1956
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,9,98,5,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,1,0,6000
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,10,98,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,6000
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,11,98,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,8454
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,12,122,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,6000
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,13,122,5,0xe7f6929a0d929a0ef8c590b840cfbfd12326fc00844841ed623c8c7cd2c3a1a2,0,1,6000
