epoch_id,validator_address,validator_name,voting_power,delegated_stake,applied_fee,effective_fee
55,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.52,135034875,0.8,0.8
56,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.46,134010380,0.8,0.8
57,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.49,134692548,0.8,0.8
58,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.5,135155328,0.8,0.8
59,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.5,135229664,0.8,0.8
60,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.51,135416999,0.8,0.8
61,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.52,135689461,0.8,0.8
62,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.52,135806420,0.8,0.8
63,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.53,136006299,0.8,0.8
64,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.51,136008252,0.8,0.8
65,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.51,136132068,0.8,0.8
66,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.51,136147229,0.8,0.8
67,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.53,135797784,0.8,0.8
68,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.59,136075368,0.8,0.8
69,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.56,135816221,0.8,0.8
