epoch_id,total_stake,total_stake_millions
369,2423935821,2423.935821
370,2425018417,2425.018417
371,2425168159,2425.168159
372,2437070774,2437.070774
373,2435832412,2435.832412
374,2432561061,2432.561061
375,2433289564,2433.289564
376,2435872461,2435.872461
377,2430138016,2430.138016
378,2431694090,2431.69409
379,2436323988,2436.323988
380,2432881380,2432.88138
381,2433285958,2433.285958
382,2431356196,2431.356196
383,2437243389,2437.243389
384,2441614948,2441.614948
385,2443081242,2443.081242
386,2448738692,2448.738692
